Rank,Title,Issn
1,Ca-A Cancer Journal for Clinicians,"15424863, 00079235"
2,Foundations and Trends in Machine Learning,"19358245, 19358237"
3,Nature Reviews Molecular Cell Biology,"14710072, 14710080"
4,Quarterly Journal of Economics,"00335533, 15314650"
5,Nature Reviews Cancer,"1474175X, 14741768"
6,Cell,"00928674, 10974172"
7,Nature Reviews Drug Discovery,"14741784, 14741776"
8,American Economic Review,"19447981, 00028282"
9,Nature Reviews Materials,20588437
10,Nature Reviews Clinical Oncology,"17594782, 17594774"
11,New England Journal of Medicine,"00284793, 15334406"
12,Journal of Finance,"00221082, 15406261"
13,Nature Medicine,"1546170X, 10788956"
14,Current Protocols in Bioinformatics,"19343396, 1934340X"
15,MMWR supplements,"23808942, 23808950"
16,Journal of Political Economy,"00223808, 1537534X"
17,Nature,"14764687, 00280836"
18,Nature Biotechnology,"15461696, 10870156"
19,Chemical Reviews,"15206890, 00092665"
20,Econometrica,"00129682, 14680262"
21,Review of Financial Studies,"14657368, 08939454"
22,Cancer Cell,"15356108, 18783686"
23,Nature Energy,20587546
24,Nature Genetics,"10614036, 15461718"
25,Reviews of Modern Physics,"00346861, 15390756"
26,Nature Reviews Immunology,"14741741, 14741733"
27,IEEE Communications Surveys and Tutorials,1553877X
28,World Psychiatry,17238617
29,Annual Review of Immunology,"15453278, 07320582"
30,National Vital Statistics Reports,"15518922, 15518930"
31,Nature Methods,"15487091, 15487105"
32,Advances in Physics,"14606976, 00018732"
33,Nano Research Energy,"27910091, 27908119"
34,MMWR Recommendations and Reports,"10575987, 15458601"
35,Academy of Management Annals,"19416520, 19416067"
36,Nature Nanotechnology,"17483387, 17483395"
37,Nature Reviews Genetics,"14710056, 14710064"
38,Nature Materials,"14764660, 14761122"
39,Administrative Science Quarterly,"00018392, 19303815"
40,Annals of Oncology,"15698041, 09237534"
41,Annual Review of Astronomy and Astrophysics,"15454282, 00664146"
42,Journal of Financial Economics,0304405X
43,Review of Economic Studies,"00346527, 1467937X"
44,Immunity,"10974180, 10747613"
45,Nature Catalysis,25201158
46,Morbidity and Mortality Weekly Report,"01492195, 1545861X"
47,Chemical Society Reviews,"03060012, 14604744"
48,American Economic Journal: Macroeconomics,"19457707, 19457715"
49,Nature Reviews Methods Primers,26628449
50,eScience,"20972431, 26671417"
51,Proceedings of the IEEE International Conference on Computer Vision,15505499
52,Nature Neuroscience,"10976256, 15461726"
53,Handbook of Econometrics,15734412
54,"Lancet Oncology, The","14702045, 14745488"
55,"Lancet, The","01406736, 1474547X"
56,Science,"10959203, 00368075"
57,Nature Cancer,26621347
58,Journal of Marketing,"15477185, 00222429"
59,Annual Review of Pathology: Mechanisms of Disease,"15534006, 15534014"
60,Joule,25424351
61,Nature Electronics,25201131
62,Nature Reviews Chemistry,23973358
63,Cell Metabolism,"15504131, 19327420"
64,Nature Immunology,"15292908, 15292916"
65,Nature Photonics,17494885
66,Journal of Economic Literature,220515
67,Energy and Environmental Science,"17545692, 17545706"
68,Physiological Reviews,"15221210, 00319333"
69,Journal of Clinical Oncology,"15277755, 0732183X"
70,Academy of Management Review,3637425
71,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,10636919
72,MMWR Surveillance Summaries,"15458636, 15460738"
73,Cell Stem Cell,"19345909, 18759777"
74,"Lancet Diabetes and Endocrinology,The","22138595, 22138587"
75,Nature Reviews Disease Primers,2056676X
76,Living Reviews in Relativity,"14338351, 23673613"
77,Psychological Science in the Public Interest,"21600031, 15291006"
78,Journal of Hepatology,"16000641, 01688278"
79,Annual Review of Condensed Matter Physics,"19475454, 19475462"
80,Annual Review of Biochemistry,"15454509, 00664154"
81,Nature Reviews Gastroenterology and Hepatology,"17595045, 17595053"
82,Astronomy and Astrophysics Review,"09354956, 14320754"
83,Nature Reviews Microbiology,"17401534, 17401526"
84,Nature Reviews Earth and Environment,2662138X
85,Cell Research,"17487838, 10010602"
86,Annual Review of Psychology,"00664308, 15452085"
87,"Lancet Public Health, The",24682667
88,Molecular Cell,"10974164, 10972765"
89,Advanced Materials,"09359648, 15214095"
90,Journal of Econometrics,"03044076, 18726895"
91,Synthesis Lectures on Artificial Intelligence and Machine Learning,"19394616, 19394608"
92,"Lancet Gastroenterology and Hepatology, The",24681253
93,American Economic Journal: Applied Economics,"19457790, 19457782"
94,Annual Review of Economics,"19411383, 19411391"
95,Acta Numerica,"14740508, 09624929"
96,Nature Cell Biology,"14764679, 14657392"
97,Reviews of Geophysics,"19449208, 87551209"
98,Cell Genomics,2666979X
99,Journal of the American College of Cardiology,"15583597, 07351097"
100,Science immunology,24709468
101,Annual Review of Fluid Mechanics,"15454479, 00664189"
102,Advanced Energy Materials,"16146832, 16146840"
103,Signal Transduction and Targeted Therapy,"20593635, 20959907"
104,Advances in Optics and Photonics,19438206
